phone_access_id,phone_id,access_time,action
46,99000316233522,"2013-09-24 04:00:23",AD3
47,99000316233522,"2013-09-24 04:00:25",AD2
48,99000316233522,"2013-09-24 04:00:45",hlgwMeiShi
49,99000316233522,"2013-09-24 04:01:03",scan1
50,99000316233522,"2013-09-24 04:01:09",scan2
51,99000316233522,"2013-09-24 04:02:14",open
52,99000316233522,"2013-09-24 04:02:28",AD1
53,99000316233522,"2013-09-24 04:04:31",scan1
54,860505021050957,"2013-09-24 04:05:31",open
55,A1000032851D641,"2013-09-24 04:23:55",open
56,A1000032851D641,"2013-09-24 04:24:06",scan1
57,A1000032851D641,"2013-09-24 04:24:34",scan2
58,A1000032851D641,"2013-09-24 04:25:19",scan1
59,A1000032851D641,"2013-09-24 04:25:27",scan1
60,A1000032851D641,"2013-09-24 04:25:34",scan2
61,A1000032851D641,"2013-09-24 05:44:50",open
62,A1000032851D641,"2013-09-24 05:45:45",open
63,A1000032851D641,"2013-09-24 05:54:35",open
64,A1000032851D641,"2013-09-24 05:56:27",open
65,A1000032851D641,"2013-09-24 05:59:53",open
66,99000316233522,"2013-09-24 06:09:39",open
67,A1000032851D641,"2013-09-24 06:17:21",open
68,A1000032851D641,"2013-09-24 06:19:14",open
69,99000316233522,"2013-09-24 06:20:26",open
70,355637058907247,"2013-09-24 06:22:50",open
71,355637058907247,"2013-09-24 06:24:38",AD1
72,355637058907247,"2013-09-24 06:24:45",AD1
73,355637058907247,"2013-09-24 06:24:48",AD2
74,355637058907247,"2013-09-24 06:24:51",AD3
75,A1000032851D641,"2013-09-24 09:21:43",open
76,A1000032851D641,"2013-09-24 09:21:53",scan1
77,A1000032851D641,"2013-09-24 09:23:08",scan1
78,A1000032851D641,"2013-09-24 09:23:49",scan1
79,A1000032851D641,"2013-09-24 09:32:25",open
80,A1000032851D641,"2013-09-24 09:32:39",scan1
81,A1000032851D641,"2013-09-24 09:33:33",open
82,A1000032851D641,"2013-09-24 09:33:58",scan1
83,A1000032851D641,"2013-09-24 09:50:01",open
84,860505021050957,"2013-09-24 11:58:51",open
85,860505021050957,"2013-09-24 11:59:04",AD3
86,860505021050957,"2013-09-24 12:00:23",open
87,99000316233522,"2013-09-24 12:25:25",open
88,99000316233522,"2013-09-24 12:26:08",scan1
89,99000316233522,"2013-09-24 12:27:08",scan2
90,99000316233522,"2013-09-24 12:27:10",scan2
91,99000316233522,"2013-09-24 12:27:28",scan2
92,99000316233522,"2013-09-24 12:28:56",open
93,99000316233522,"2013-09-24 12:29:06",scan2
94,99000316233522,"2013-09-24 12:29:57",AD1
95,99000316233522,"2013-09-24 12:29:57",AD1
96,99000316233522,"2013-09-24 12:30:02",AD2
97,99000316233522,"2013-09-24 12:30:05",AD2
98,355637058907247,"2013-09-24 12:30:13",open
99,355637058907247,"2013-09-24 12:30:29",AD3
100,99000316233522,"2013-09-24 12:30:44",hlgwMeiShi
101,355637058907247,"2013-09-24 12:30:48",hlgwMeiShi
102,99000316233522,"2013-09-24 12:30:51",hlgwDianYing
103,99000316233522,"2013-09-24 12:31:08",hlgwDianYing
104,99000316233522,"2013-09-24 12:31:28",hlgwShengHuo
105,99000316233522,"2013-09-24 12:31:35",hlgwShengHuo
106,355637058907247,"2013-09-24 12:31:59",scan1
107,355637058907247,"2013-09-24 12:32:23",scan1
108,355637058907247,"2013-09-24 12:32:37",scan1
109,355637058907247,"2013-09-24 12:33:08",scan2
110,860505021050957,"2013-09-24 12:34:02",open
111,860505021050957,"2013-09-24 12:34:10",scan2
112,355637058907247,"2013-09-24 12:34:22",AD1
113,860505021050957,"2013-09-24 12:41:52",open
114,860505021050957,"2013-09-24 12:42:25",open
115,355637058907247,"2013-09-24 12:45:12",open
116,355637058907247,"2013-09-24 12:48:35",scan1
117,355637058907247,"2013-09-24 12:54:19",open
118,355637058907247,"2013-09-24 12:54:31",scan1
119,355637058907247,"2013-09-24 12:55:00",open
120,355637058907247,"2013-09-24 12:55:40",open
121,860505021050957,"2013-09-24 12:57:46",open
122,355637058907247,"2013-09-24 13:01:40",scan2
123,355637058907247,"2013-09-24 13:19:59",open
124,355637058907247,"2013-09-24 13:20:09",scan1
125,355637058907247,"2013-09-24 13:20:40",scan2
126,355637058907247,"2013-09-24 13:21:49",scan2
127,355637058907247,"2013-09-24 13:24:26",scan2
128,355637058907247,"2013-09-24 13:24:33",open
129,355637058907247,"2013-09-24 13:24:42",scan1
130,355637058907247,"2013-09-24 13:24:51",scan2
131,355637058907247,"2013-09-24 13:25:48",scan1
132,355637058907247,"2013-09-24 13:26:16",scan2
133,355637058907247,"2013-09-24 13:29:30",open
134,355637058907247,"2013-09-24 13:29:40",scan2
135,860505021050957,"2013-09-24 13:32:10",open
136,860505021050957,"2013-09-24 13:32:28",scan1
137,860505021050957,"2013-09-24 13:32:41",scan2
138,860505021050957,"2013-09-24 13:32:57",open
139,355637058907247,"2013-09-24 13:33:19",scan1
140,860505021050957,"2013-09-24 13:33:29",scan1
141,355637058907247,"2013-09-24 13:33:41",scan2
142,860505021050957,"2013-09-24 13:49:43",open
143,860505021050957,"2013-09-24 14:00:00",scan1
144,355637058907247,"2013-09-24 14:00:22",open
145,860505021050957,"2013-09-24 14:00:22",scan1
146,355637058907247,"2013-09-24 14:00:28",scan1
147,355637058907247,"2013-09-24 14:00:35",scan2
148,860505021050957,"2013-09-24 14:00:39",scan2
149,99000316233522,"2013-09-24 14:04:18",open
150,99000316233522,"2013-09-24 14:07:10",AD3
151,99000316233522,"2013-09-24 15:00:28",open
152,99000316233522,"2013-09-24 15:01:04",hlgwMeiShi
153,99000316233522,"2013-09-24 15:01:13",hlgwDianYing
154,99000316233522,"2013-09-25 01:38:48",open
155,99000316233522,"2013-09-25 01:40:55",open
156,99000316233522,"2013-09-25 01:41:02",AD1
157,A1000032851D641,"2013-09-25 01:41:27",open
158,A1000032851D641,"2013-09-25 01:43:26",open
159,99000316233522,"2013-09-25 01:44:33",hlgwMeiShi
160,99000316233522,"2013-09-25 01:44:36",hlgwMeiShi
161,99000316233522,"2013-09-25 01:44:43",hlgwDianYing
162,99000316233522,"2013-09-25 01:44:45",hlgwShengHuo
163,99000316233522,"2013-09-25 01:45:05",open
164,A1000032851D641,"2013-09-25 01:45:27",hlgwMeiShi
165,A1000032851D641,"2013-09-25 01:46:09",hlgwMeiShi
166,A1000032851D641,"2013-09-25 01:46:13",hlgwDianYing
167,A1000032851D641,"2013-09-25 01:46:15",hlgwShengHuo
168,99000316233522,"2013-09-25 01:46:50",hlgwShengHuo
169,A1000032851D641,"2013-09-25 01:47:03",AD1
170,A1000032851D641,"2013-09-25 01:47:06",AD2
171,A1000032851D641,"2013-09-25 01:47:09",AD3
172,A1000032851D641,"2013-09-25 01:56:43",AD3
173,99000316233522,"2013-09-25 02:00:55",scan1
174,99000316233522,"2013-09-25 02:01:17",scan1
175,99000316233522,"2013-09-25 02:01:41",scan1
176,99000316233522,"2013-09-25 02:02:05",scan1
177,99000316233522,"2013-09-25 02:04:46",scan1
178,99000316233522,"2013-09-25 02:07:22",scan2
179,99000316233522,"2013-09-25 02:07:58",scan2
180,99000316233522,"2013-09-25 02:08:04",open
181,99000316233522,"2013-09-25 02:08:25",scan2
182,99000316233522,"2013-09-25 02:09:06",open
183,99000316233522,"2013-09-25 02:09:13",scan2
184,A1000032851D641,"2013-09-25 02:48:12",open
185,A1000032851D641,"2013-09-25 02:49:22",scan1
186,A1000032851D641,"2013-09-25 02:49:57",scan1
187,A1000032851D641,"2013-09-25 02:50:06",scan2
188,A1000032851D641,"2013-09-25 02:50:27",scan1
189,99000316233522,"2013-09-25 03:05:24",open
190,99000316233522,"2013-09-25 03:05:32",scan2
191,99000316233522,"2013-09-25 03:05:37",open
192,99000316233522,"2013-09-25 03:05:43",scan2
193,99000316233522,"2013-09-25 03:05:49",open
194,99000316233522,"2013-09-25 03:05:54",scan2
195,99000316233522,"2013-09-25 03:05:58",open
196,99000316233522,"2013-09-25 03:06:03",scan2
197,99000316233522,"2013-09-25 03:06:23",open
198,99000316233522,"2013-09-25 03:06:34",scan2
199,99000316233522,"2013-09-25 03:06:38",open
200,99000316233522,"2013-09-25 03:06:49",scan2
201,A1000032851D641,"2013-09-25 03:22:25",open
202,A1000032851D641,"2013-09-25 03:22:37",scan1
203,A1000032851D641,"2013-09-25 03:22:46",scan2
204,99000316233522,"2013-09-25 03:29:44",open
205,99000316233522,"2013-09-25 03:29:58",AD3
206,99000316233522,"2013-09-25 03:30:20",AD1
207,99000316233522,"2013-09-25 03:30:44",scan1
208,99000316233522,"2013-09-25 03:30:55",scan2
209,A1000032851D641,"2013-09-25 03:41:51",open
210,A1000032851D641,"2013-09-25 03:42:45",scan1
211,A1000032851D641,"2013-09-25 03:42:54",scan2
212,A1000032851D641,"2013-09-25 03:43:56",scan1
213,A1000032851D641,"2013-09-25 03:44:17",scan2
214,A1000032851D641,"2013-09-25 03:47:07",scan1
215,A1000032851D641,"2013-09-25 03:47:49",scan2
216,A1000032851D641,"2013-09-25 03:48:50",scan2
217,A1000032851D641,"2013-09-25 03:49:39",scan1
218,A1000032851D641,"2013-09-25 03:50:14",scan1
219,A1000032851D641,"2013-09-25 03:50:31",scan2
220,A1000032851D641,"2013-09-25 03:50:52",scan2
221,A1000032851D641,"2013-09-25 03:51:11",scan2
222,A1000032851D641,"2013-09-25 03:51:50",scan2
223,A1000032851D641,"2013-09-25 03:52:05",scan2
224,A1000032851D641,"2013-09-25 03:52:19",scan2
225,A1000032851D641,"2013-09-25 03:52:33",scan2
226,A1000032851D641,"2013-09-25 03:52:45",scan2
227,A1000032851D641,"2013-09-25 03:53:50",scan1
228,A1000032851D641,"2013-09-25 03:54:03",scan2
229,A1000032851D641,"2013-09-25 03:54:55",scan1
230,A1000032851D641,"2013-09-25 03:55:05",scan2
231,A1000032851D641,"2013-09-25 03:55:14",scan2
232,A1000032851D641,"2013-09-25 03:55:21",scan2
233,A1000032851D641,"2013-09-25 03:55:27",scan2
234,A1000032851D641,"2013-09-25 03:55:36",scan2
235,A1000032851D641,"2013-09-25 03:55:44",scan2
236,A1000032851D641,"2013-09-25 03:55:55",scan2
237,A1000032851D641,"2013-09-25 03:56:02",scan2
238,A1000032851D641,"2013-09-25 06:39:30",scan2
239,860505021050957,"2013-09-25 06:44:31",open
240,99000316233522,"2013-09-25 06:46:23",open
241,99000316233522,"2013-09-25 06:46:49",scan1
242,99000316233522,"2013-09-25 06:47:00",scan2
243,99000316233522,"2013-09-25 06:47:19",AD1
244,860505021050957,"2013-09-25 06:56:02",open
245,860505021050957,"2013-09-25 07:37:35",open
246,860505021050957,"2013-09-25 07:38:35",hlgwMeiShi
247,860505021050957,"2013-09-25 07:38:58",hlgwDianYing
248,860505021050957,"2013-09-25 07:39:18",hlgwShengHuo
249,860505021050957,"2013-09-25 07:39:54",scan1
250,860505021050957,"2013-09-25 07:40:23",scan2
251,860505021050957,"2013-09-25 07:47:00",open
252,860505021050957,"2013-09-25 07:47:56",scan1
253,860505021050957,"2013-09-25 07:51:22",scan1
254,860505021050957,"2013-09-25 07:51:54",scan2
255,860505021050957,"2013-09-25 07:52:36",scan2
256,A1000032851D641,"2013-09-25 07:53:14",open
257,A1000032851D641,"2013-09-25 07:53:41",scan1
258,860505021050957,"2013-09-25 07:58:42",hlgwMeiShi
259,860505021050957,"2013-09-25 07:59:03",hlgwDianYing
260,860505021050957,"2013-09-25 07:59:21",hlgwShengHuo
261,860505021050957,"2013-09-25 08:00:47",hlgwMeiShi
262,860505021050957,"2013-09-25 08:09:49",scan2
263,860505021050957,"2013-09-25 08:10:53",scan1
264,A1000032851D641,"2013-09-25 08:12:46",open
265,A1000032851D641,"2013-09-25 08:13:21",scan1
266,A1000032851D641,"2013-09-25 08:16:53",open
267,A1000032851D641,"2013-09-25 08:17:58",open
268,A1000032851D641,"2013-09-25 08:23:56",open
269,355637058907247,"2013-09-25 08:25:49",open
270,355637058907247,"2013-09-25 08:28:40",open
271,A1000032851D641,"2013-09-25 08:31:13",scan1
272,355637058907247,"2013-09-25 08:31:14",open
273,355637058907247,"2013-09-25 08:31:30",scan1
274,A1000032851D641,"2013-09-25 08:32:18",open
275,A1000032851D641,"2013-09-25 08:32:28",scan1
276,A1000032851D641,"2013-09-25 08:40:55",open
277,A1000032851D641,"2013-09-25 08:41:04",scan1
278,A1000032851D641,"2013-09-25 08:42:03",open
279,A1000032851D641,"2013-09-25 08:42:13",scan1
280,A1000032851D641,"2013-09-25 08:42:55",scan1
281,A1000032851D641,"2013-09-25 08:43:31",scan1
282,A1000032851D641,"2013-09-25 08:44:22",scan1
283,99000316233522,"2013-09-25 08:46:23",open
284,99000316233522,"2013-09-25 08:46:27",AD1
285,99000316233522,"2013-09-25 08:46:31",AD3
286,99000316233522,"2013-09-25 08:46:44",hlgwMeiShi
287,99000316233522,"2013-09-25 08:46:49",hlgwDianYing
288,99000316233522,"2013-09-25 08:47:25",scan1
289,A1000032851D641,"2013-09-25 08:47:50",open
290,A1000032851D641,"2013-09-25 08:48:01",scan1
291,A1000032851D641,"2013-09-25 08:48:11",scan1
292,99000316233522,"2013-09-25 08:48:11",scan2
293,A1000032851D641,"2013-09-25 08:48:25",scan1
294,99000316233522,"2013-09-25 08:49:00",scan2
295,99000316233522,"2013-09-25 08:50:15",hlgwMeiShi
296,99000316233522,"2013-09-25 08:51:07",hlgwDianYing
297,99000316233522,"2013-09-25 08:51:15",hlgwShengHuo
298,A1000032851D641,"2013-09-25 08:51:40",open
299,A1000032851D641,"2013-09-25 08:51:48",scan1
300,A1000032851D641,"2013-09-25 08:53:42",scan1
301,A1000032851D641,"2013-09-25 08:53:54",scan1
302,A1000032851D641,"2013-09-25 08:55:53",open
303,A1000032851D641,"2013-09-25 09:14:19",open
304,A1000032851D641,"2013-09-25 09:14:26",scan1
305,860505021050957,"2013-09-25 09:46:37",open
306,860505021050957,"2013-09-25 09:46:54",scan1
307,860505021050957,"2013-09-25 09:47:14",scan2
308,860505021050957,"2013-09-25 09:47:46",scan1
309,860505021050957,"2013-09-25 09:48:02",scan2
310,A1000032851D641,"2013-09-25 09:50:39",scan1
311,860505021050957,"2013-09-25 10:29:51",scan1
312,860505021050957,"2013-09-25 10:30:01",scan1
313,860505021050957,"2013-09-25 10:30:12",scan1
314,860505021050957,"2013-09-25 10:30:23",scan1
315,860505021050957,"2013-09-25 10:31:10",scan2
316,860505021050957,"2013-09-25 10:31:35",scan1
317,860505021050957,"2013-09-25 10:31:58",scan2
318,860505021050957,"2013-09-25 10:32:08",scan2
319,860505021050957,"2013-09-25 10:32:20",scan2
320,860505021050957,"2013-09-25 10:32:30",scan1
321,860505021050957,"2013-09-25 10:32:46",scan2
322,860505021050957,"2013-09-25 10:33:09",scan2
323,A1000032851D641,"2013-09-25 10:34:40",scan1
324,A1000032851D641,"2013-09-25 10:34:48",scan2
325,A1000032851D641,"2013-09-25 10:36:30",open
326,A1000032851D641,"2013-09-25 10:36:48",scan2
327,860505021050957,"2013-09-25 10:38:49",open
328,99000316233522,"2013-09-25 12:38:34",open
329,A1000032851D641,"2013-09-26 01:48:39",scan2
330,A1000032851D641,"2013-09-26 01:57:02",open
331,A1000032851D641,"2013-09-26 01:57:11",scan1
332,A1000032851D641,"2013-09-26 01:59:12",open
333,A1000032851D641,"2013-09-26 01:59:18",scan1
334,A1000032851D641,"2013-09-26 02:00:29",open
335,A1000032851D641,"2013-09-26 02:00:37",scan1
336,A1000032851D641,"2013-09-26 02:15:58",open
337,A1000032851D641,"2013-09-26 02:16:08",scan1
338,A1000032851D641,"2013-09-26 02:16:55",open
339,A1000032851D641,"2013-09-26 02:17:09",scan1
340,A1000032851D641,"2013-09-26 02:17:18",scan1
341,A1000032851D641,"2013-09-26 02:17:30",scan1
342,A1000032851D641,"2013-09-26 02:17:41",scan1
343,A1000032851D641,"2013-09-26 02:18:16",open
344,A1000032851D641,"2013-09-26 02:18:23",scan1
345,A1000032851D641,"2013-09-26 02:18:34",scan1
346,A1000032851D641,"2013-09-26 02:20:07",open
347,A1000032851D641,"2013-09-26 02:20:14",scan1
348,A1000032851D641,"2013-09-26 02:20:37",scan1
349,A1000032851D641,"2013-09-26 02:21:09",scan1
350,A1000032851D641,"2013-09-26 02:44:16",scan1
351,A1000032851D641,"2013-09-26 02:46:24",open
352,A1000032851D641,"2013-09-26 02:46:33",scan1
353,355637058907247,"2013-09-26 02:48:40",open
354,355637058907247,"2013-09-26 02:48:48",scan1
355,355637058907247,"2013-09-26 02:49:06",scan1
356,355637058907247,"2013-09-26 02:50:33",scan1
357,355637058907247,"2013-09-26 02:50:45",scan1
358,355637058907247,"2013-09-26 02:52:24",open
359,355637058907247,"2013-09-26 02:53:32",scan1
360,355637058907247,"2013-09-26 02:54:05",scan1
361,355637058907247,"2013-09-26 02:56:14",open
362,355637058907247,"2013-09-26 02:56:32",scan1
363,355637058907247,"2013-09-26 02:57:21",open
364,355637058907247,"2013-09-26 02:57:44",scan1
365,355637058907247,"2013-09-26 03:23:03",open
366,355637058907247,"2013-09-26 03:23:13",scan1
367,355637058907247,"2013-09-26 03:23:34",scan1
368,355637058907247,"2013-09-26 03:25:03",open
369,355637058907247,"2013-09-26 03:25:21",scan1
370,355637058907247,"2013-09-26 03:26:50",open
371,355637058907247,"2013-09-26 03:27:00",scan1
372,355637058907247,"2013-09-26 03:27:27",open
373,355637058907247,"2013-09-26 03:27:36",scan1
374,355637058907247,"2013-09-26 03:28:47",open
375,355637058907247,"2013-09-26 03:28:54",scan1
376,355637058907247,"2013-09-26 03:29:45",scan1
377,355637058907247,"2013-09-26 03:29:59",scan2
378,355637058907247,"2013-09-26 03:30:06",scan1
379,A1000032851D641,"2013-09-26 03:43:19",open
380,A1000032851D641,"2013-09-26 03:43:31",scan1
381,A1000032851D641,"2013-09-26 03:44:05",scan2
382,A1000032851D641,"2013-09-26 03:44:22",scan1
383,A1000032851D641,"2013-09-26 03:44:28",scan2
384,A1000032851D641,"2013-09-26 03:45:59",open
385,A1000032851D641,"2013-09-26 03:46:06",scan2
386,A1000032851D641,"2013-09-26 03:58:44",open
387,A1000032851D641,"2013-09-26 05:53:33",open
388,A1000032851D641,"2013-09-26 05:53:54",scan1
389,A1000032851D641,"2013-09-26 05:53:57",scan1
390,A1000032851D641,"2013-09-26 06:03:04",open
391,A1000032851D641,"2013-09-26 06:03:14",scan1
392,A1000032851D641,"2013-09-26 06:03:23",scan1
393,A1000032851D641,"2013-09-26 06:03:40",open
394,860505021050957,"2013-09-26 06:06:08",open
395,A1000032851D641,"2013-09-26 06:16:37",open
396,A1000032851D641,"2013-09-26 06:16:48",scan1
397,A1000032851D641,"2013-09-26 06:19:03",open
398,A1000032851D641,"2013-09-26 06:21:12",open
399,A1000032851D641,"2013-09-26 06:22:06",open
400,A1000032851D641,"2013-09-26 06:24:36",open
401,A1000032851D641,"2013-09-26 06:24:50",scan1
402,A1000032851D641,"2013-09-26 06:27:38",open
403,A1000032851D641,"2013-09-26 06:29:46",open
404,A1000032851D641,"2013-09-26 06:29:55",scan1
405,A1000032851D641,"2013-09-26 06:30:01",scan2
406,A1000032851D641,"2013-09-26 06:30:17",scan2
407,A1000032851D641,"2013-09-26 06:30:50",scan2
408,355637058907247,"2013-09-26 06:32:00",open
409,355637058907247,"2013-09-26 06:33:27",open
410,355637058907247,"2013-09-26 06:36:52",open
411,355637058907247,"2013-09-26 06:37:24",scan1
412,355637058907247,"2013-09-26 06:37:58",scan2
413,355637058907247,"2013-09-26 06:45:08",open
414,355637058907247,"2013-09-26 06:51:14",scan2
415,860505021050957,"2013-09-26 06:56:43",scan1
416,860505021050957,"2013-09-26 06:56:57",scan2
417,355637058907247,"2013-09-26 07:00:54",open
418,355637058907247,"2013-09-26 07:01:19",scan2
419,355637058907247,"2013-09-26 07:02:14",open
420,355637058907247,"2013-09-26 07:02:24",scan2
421,355637058907247,"2013-09-26 07:02:53",scan2
422,355637058907247,"2013-09-26 07:03:08",scan2
423,355637058907247,"2013-09-26 07:10:07",open
424,355637058907247,"2013-09-26 07:10:22",open
425,355637058907247,"2013-09-26 07:10:36",AD1
426,355637058907247,"2013-09-26 07:12:00",open
427,355637058907247,"2013-09-26 07:12:36",open
428,355637058907247,"2013-09-26 07:23:15",open
429,355637058907247,"2013-09-26 07:23:57",open
430,355637058907247,"2013-09-26 07:30:18",open
431,355637058907247,"2013-09-26 07:30:25",AD2
432,355637058907247,"2013-09-26 07:30:29",AD1
433,355637058907247,"2013-09-26 07:30:33",AD1
434,355637058907247,"2013-09-26 07:30:45",AD1
435,355637058907247,"2013-09-26 07:31:45",open
436,355637058907247,"2013-09-26 07:37:48",open
437,355637058907247,"2013-09-26 07:39:38",open
438,355637058907247,"2013-09-26 07:39:51",AD1
439,355637058907247,"2013-09-26 07:40:43",open
440,355637058907247,"2013-09-26 07:41:49",open
441,355637058907247,"2013-09-26 07:42:23",open
442,355637058907247,"2013-09-26 07:43:17",open
443,355637058907247,"2013-09-26 07:43:24",open
444,355637058907247,"2013-09-26 07:43:44",open
445,355637058907247,"2013-09-26 07:43:55",open
446,355637058907247,"2013-09-26 07:44:35",open
447,355637058907247,"2013-09-26 07:45:15",open
448,355637058907247,"2013-09-26 07:46:00",open
449,355637058907247,"2013-09-26 07:46:23",AD1
450,355637058907247,"2013-09-26 07:46:45",open
451,355637058907247,"2013-09-26 07:59:06",open
452,355637058907247,"2013-09-26 08:00:21",open
453,355637058907247,"2013-09-26 08:00:39",open
454,355637058907247,"2013-09-26 09:25:46",open
455,355637058907247,"2013-09-26 09:28:42",open
456,A1000032851D641,"2013-09-26 09:30:36",open
457,A1000032851D641,"2013-09-26 09:35:01",open
458,A1000032851D641,"2013-09-26 09:35:39",AD1
459,355637058907247,"2013-09-26 09:37:03",open
460,355637058907247,"2013-09-26 09:37:28",open
461,A1000032851D641,"2013-09-26 09:37:49",open
462,355637058907247,"2013-09-26 09:39:29",open
463,355637058907247,"2013-09-26 09:39:34",open
464,355637058907247,"2013-09-26 09:39:40",open
465,355637058907247,"2013-09-26 09:39:46",open
466,355637058907247,"2013-09-26 09:39:53",open
467,355637058907247,"2013-09-26 14:02:12",open
468,355637058907247,"2013-09-26 14:03:00",open
469,353769050798555,"2013-09-26 15:09:37",open
470,353769050798555,"2013-09-26 15:09:42",AD1
471,353769050798555,"2013-09-26 15:09:56",scan1
472,353769050798555,"2013-09-26 15:10:11",open
473,353769050798555,"2013-09-26 15:10:18",scan1
474,353769050798555,"2013-09-26 15:10:58",scan1
475,353769050798555,"2013-09-26 15:11:05",open
476,353769050798555,"2013-09-26 15:11:29",open
477,353769050798555,"2013-09-26 15:13:57",AD2
478,A1000032851D641,"2013-09-27 03:23:22",open
479,A1000032851D641,"2013-09-27 03:23:42",scan1
480,355637058907247,"2013-09-27 03:27:37",open
481,355637058907247,"2013-09-27 03:27:53",open
482,355637058907247,"2013-09-27 03:28:03",scan1
483,355637058907247,"2013-09-27 03:28:21",scan2
484,355637058907247,"2013-09-27 03:31:52",open
485,860505021050957,"2013-09-27 03:32:00",open
486,355637058907247,"2013-09-27 03:32:02",scan1
487,860505021050957,"2013-09-27 03:32:05",scan1
488,860505021050957,"2013-09-27 03:32:10",scan2
489,355637058907247,"2013-09-27 03:32:17",AD2
490,355637058907247,"2013-09-27 03:32:22",scan2
491,860505021050957,"2013-09-27 03:32:31",scan2
492,353769050798555,"2013-09-27 05:35:13",open
493,353769050798555,"2013-09-27 05:36:59",hlgwMeiShi
494,353769050798555,"2013-09-27 05:37:10",hlgwMeiShi
495,A1000032851D641,"2013-09-27 05:37:28",scan2
496,A1000032851D641,"2013-09-27 05:37:39",scan2
497,A1000032851D641,"2013-09-27 05:38:03",scan2
498,A1000032851D641,"2013-09-27 05:39:07",scan2
499,A1000032851D641,"2013-09-27 05:39:35",scan2
500,A1000032851D641,"2013-09-27 05:40:10",scan2
501,A1000032851D641,"2013-09-27 05:40:33",scan2
502,860505021050957,"2013-09-27 06:11:34",open
503,860505021050957,"2013-09-27 06:11:36",scan1
504,A1000032851D641,"2013-09-27 08:14:01",open
505,A1000032851D641,"2013-09-27 08:14:33",open
506,A1000032851D641,"2013-09-27 08:15:15",scan1
507,A1000032851D641,"2013-09-27 08:15:29",scan2
508,860505021050957,"2013-09-27 08:40:19",open
509,860505021050957,"2013-09-27 08:40:34",scan1
510,860505021050957,"2013-09-27 08:41:07",scan2
511,860505021050957,"2013-09-27 08:47:55",AD2
512,860505021050957,"2013-09-27 08:48:05",scan1
513,860505021050957,"2013-09-27 08:48:41",scan1
514,860505021050957,"2013-09-27 08:49:01",scan1
515,860505021050957,"2013-09-27 08:49:18",scan1
516,860505021050957,"2013-09-27 08:49:48",scan1
517,860505021050957,"2013-09-27 08:50:07",scan1
518,860505021050957,"2013-09-27 09:16:14",scan1
519,860505021050957,"2013-09-27 09:16:27",scan2
520,860505021050957,"2013-09-27 09:31:22",open
521,860505021050957,"2013-09-27 10:01:57",scan1
522,860505021050957,"2013-09-27 10:02:59",scan1
523,860505021050957,"2013-09-27 10:04:00",scan1
524,860505021050957,"2013-09-27 10:05:23",scan2
525,860505021050957,"2013-09-27 10:07:25",scan1
526,860505021050957,"2013-09-27 10:17:02",scan1
527,860505021050957,"2013-09-27 10:17:28",scan1
528,860505021050957,"2013-09-27 10:18:32",scan1
529,A0000040C6CC80,"2013-09-27 18:23:22",open
530,99000316233522,"2013-09-28 02:04:38",scan1
531,99000316233522,"2013-09-28 02:06:35",AD3
532,99000316233522,"2013-09-28 02:06:35",AD3
